dis.Date,rep,row,line,treatment,genotype,pot,visible.leaves,ligulated.leaves,SAM_nscore,ratio
21/02/2024,1,1,1,nightbreak,LH123Ht,1489,5.5,3,1,0.925925926
21/02/2024,2,7,3,nightbreak,CML258,1743,5,4,2,1.068965517
21/02/2024,2,2,4,control,CML373,1444,6.2,3,1,0.525
20/02/2024,1,7,2,nightbreak,Tzi8,1742,5.2,3,1,0.950617284
21/02/2024,1,9,1,nightbreak,CML341,1861,6.2,4,2,0.529411765
21/02/2024,2,9,3,nightbreak,Tzi8,1863,6.2,3,1,0.833333333
21/02/2024,1,1,2,nightbreak,Tzi9,1490,6.5,4,2,1.125
21/02/2024,2,6,3,control,CML277,1683,6.2,3,1,1.087719298
21/02/2024,1,2,2,control,LH123Ht,1442,6,3,1,0.830188679
21/02/2024,2,1,4,nightbreak,CML373,1492,5.5,3,1,0.583333333
21/02/2024,1,4,2,control,CML277,1562,6.2,3,1,1.037383178
20/02/2024,2,4,4,control,Tzi8,1564,6.5,4,1,1.109195402
21/02/2024,1,5,1,nightbreak,CML277,1621,6.2,3,1,1.030927835
20/02/2024,2,5,4,nightbreak,LH123Ht,1624,6,4,1,0.842592593
20/02/2024,1,6,1,control,B73,1681,7.5,4,2,NA
20/02/2024,1,6,2,control,CML258,1682,7,4,1,1.276595745
20/02/2024,1,10,1,control,CML373,1729,6,3,1,0.509433962
21/02/2024,1,7,1,nightbreak,CML373,1741,5.5,4,1,0.590163934
21/02/2024,2,7,4,nightbreak,CML341,1744,7.5,4,2,1.176470588
20/02/2024,1,8,1,control,Tzi8,1801,6.2,3,1,NA
21/02/2024,1,8,2,control,2369,1802,6.5,4,2,1.311594203
21/02/2024,2,8,3,control,CML258,1803,5,4,1,1.094117647
21/02/2024,1,9,2,nightbreak,CML258,1862,5,4,2,1.365591398
20/02/2024,2,9,4,nightbreak,2369,1864,6.5,4,2,1.132352941
20/02/2024,2,3,3,nightbreak,Tzi9,1503,7.2,4,2,0.549019608
20/02/2024,2,6,4,control,CML341,1684,6.8,4,2,1.524590164
21/02/2024,2,10,3,control,2369,1731,7,4,2,2.090909091
21/02/2024,1,2,1,control,CML341,1441,6.5,4,1,1.255319149
21/02/2024,2,2,3,control,BA90,1443,7.2,4,5,3.925311203
20/02/2024,1,3,1,nightbreak,BA90,1501,7.5,5,3,2.24537037
20/02/2024,1,3,2,nightbreak,B73,1502,7.5,4,2,NA
20/02/2024,1,5,2,nightbreak,2369,1622,6.5,4,2,1.143939394
21/02/2024,2,5,3,nightbreak,B73,1623,8,4,2,1.375
20/02/2024,1,10,2,control,BA90,1730,7.2,5,5,3.247272727
20/02/2024,2,10,4,control,B73,1732,7.5,4,2,1.449275362
