origin,genotype,treatment,comment,method,phyllo,plasto
Andrieu,Dea,nd,25um,digitized,2.76,7.01E+00
Andrieu,Dea,nd,25um,digitized,3.53,8.54E+00
Andrieu,Dea,hd,25um,digitized,3.57,9.111844487
Andrieu,Dea,nd,25um,digitized,4.3,9.81E+00
Andrieu,Dea,nd,25um,digitized,4.49,1.03E+01
Andrieu,Dea,nd,25um,digitized,4.65,1.03E+01
Andrieu,Dea,hd,25um,digitized,4.96,10.8785168
Andrieu,Dea,nd,25um,digitized,5.4,1.10E+01
Andrieu,Dea,hd,25um,digitized,4.94,11.08907048
Andrieu,Dea,nd,25um,digitized,5.35,1.13E+01
Andrieu,Dea,nd,25um,digitized,5.3,1.13E+01
Andrieu,Dea,hd,25um,digitized,5.39,12.14113801
Andrieu,Dea,hd,25um,digitized,5.88,13.12999361
Andrieu,Dea,hd,25um,digitized,6.2,13.6348534
Andrieu,Dea,hd,25um,digitized,6.52,13.95023914
Andrieu,Dea,nd,25um,digitized,6.68,1.43E+01
Andrieu,Dea,hd,25um,digitized,7.2,15.14937886
Bassiri,A632xW123,NA,0.5apex,digitized,2.88,8.90E+00
Bassiri,A632xW123,NA,0.5apex,digitized,2.96,9.37E+00
Bassiri,A632xW123,NA,0.5apex,digitized,3.54,9.82E+00
Bassiri,A632xW123,NA,0.5apex,digitized,5.15,1.20E+01
Bassiri,A632xW123,NA,0.5apex,digitized,4.93,1.32E+01
Bassiri,A632xW123,NA,0.5apex,digitized,5.98,1.47E+01
Bassiri,A632xW123,NA,0.5apex,digitized,6.23,1.66E+01
Bassiri,A632xW123,NA,0.5apex,digitized,6.9,1.80E+01
Bassiri,TP2,mutant,0.5apex,digitized,3.13,8.35E+00
Bassiri,TP2,mutant,0.5apex,digitized,3.08,8.47E+00
Bassiri,TP2,mutant,0.5apex,digitized,3.46,9.44E+00
Bassiri,TP2,mutant,0.5apex,digitized,4.85,1.13E+01
Bassiri,TP2,mutant,0.5apex,digitized,5.9,1.36E+01
