"genotype","treatment","ratio","fit","lwr","upr"
"Tzi9","nightbreak",2,7.81843132482408,7.28698635152129,8.34987629812688
"CML277","control",2,7.12313684012434,6.61344537106976,7.63282830917893
"Tzi8","control",2,7.59479274215825,7.11559608762377,8.07398939669273
"CML277","nightbreak",2,8.47544736954737,8.08206571551071,8.86882902358403
"CML341","nightbreak",2,9.70609111427737,9.23471667978982,10.1774655487649
"2369","control",2,7.41734984518843,6.73769047470756,8.09700921566929
"2369","nightbreak",2,8.65744839776871,8.24183820196278,9.07305859357465
"CML341","control",2,7.79907012050627,7.25101896336288,8.34712127764965
"BA90","control",2,5.51341687212582,3.80702149474091,7.21981224951073
"BA90","nightbreak",2,7.41485831718614,6.68388780677297,8.1458288275993
"B73","nightbreak",2,9.29401665889223,8.80627660548997,9.78175671229448
"B73","control",2,8.15201905283368,7.39314146041005,8.9108966452573
"Tzi9","control",2,6.86242751308269,6.08804702260213,7.63680800356325
"Tzi8","nightbreak",2,9.81915039689193,9.39403891201093,10.2442618817729
"LH123Ht","nightbreak",2,7.74645167547787,7.22141318293158,8.27149016802416
"CML373","control",2,8.42793422012642,7.8019114732039,9.05395696704894
"LH123Ht","control",2,7.38315712433337,5.00196874803988,9.76434550062686
"CML373","nightbreak",2,9.94441258151409,9.3300312001885,10.5587939628397
