"genotype","treatment","emmean","SE","df","lower.CL","upper.CL"
"2369","Control",17.2556002656941,0.317239725719843,105.833011661734,16.2319465009385,18.2792540304498
"2369","NB",18.7539110761487,0.305674979259876,128.071367859392,17.7720532485419,19.7357689037555
"B73","Control",18.5011697914878,0.314193833317876,110.921950666285,17.4885645467691,19.5137750362065
"B73","NB",20.0906224306651,0.307050048397956,125.883426201505,19.1039769669518,21.0772678943784
"BA90","Control",15.8763777087973,0.312214470417801,117.025984404165,14.8714639694668,16.8812914481279
"BA90","NB",18.7095802251767,0.308517202527443,122.154706119117,17.7175540579998,19.7016063923537
"CML258","Control",21.0056002656941,0.317239725719843,105.833011661741,19.9819465009384,22.0292540304497
"CML258","NB",21.6306002656941,0.317239725719843,105.833011661741,20.6069465009384,22.6542540304497
"CML277","Control",17.1113348327355,0.312617575896405,115.099767763438,16.1047243657812,18.1179452996898
"CML277","NB",18.6306002656941,0.317239725719843,105.833011661741,17.6069465009384,19.6542540304497
"CML341","Control",19.2363348327355,0.312617575896406,115.099767763438,18.2297243657811,20.2429452996898
"CML341","NB",19.7095802251767,0.308517202527443,122.154706119118,18.7175540579998,20.7016063923537
"CML373","Control",19.7556002656941,0.317239725719843,105.833011661741,18.7319465009384,20.7792540304497
"CML373","NB",20.1306002656941,0.317239725719843,105.833011661741,19.1069465009384,21.1542540304497
"LH123Ht","Control",16.8761697914878,0.314193833317876,110.921950666285,15.8635645467691,17.8887750362065
"LH123Ht","NB",18.0056002656941,0.317239725719843,105.833011661742,16.9819465009384,19.0292540304497
"Tzi8","Control",19.2556002656941,0.317239725719843,105.833011661741,18.2319465009384,20.2792540304497
"Tzi8","NB",21.0056002656941,0.317239725719843,105.833011661741,19.9819465009384,22.0292540304497
"Tzi9","Control",18.1466239406707,0.311254879461977,118.506593422188,17.1450953962041,19.1481524851373
"Tzi9","NB",19.6139075872101,0.311161781805405,116.878940715037,18.6123522341129,20.6154629403073
