exp,country,trial,lat,lon,pg_id_n,variety_id_n,set,trait,paramater_id,plot_treatment,blue,se,ased,echidna,model,note
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_001,EM1197,core,LN_total,INLF-tl,mean,16.8,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_002,Tzi8,core,LN_total,INLF-tl,mean,18.4,0.3,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_003,CML10,core,LN_total,INLF-tl,mean,21.2,0.3,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_004,CML258,core,LN_total,INLF-tl,mean,22.5,0.3,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_005,CML332,core,LN_total,INLF-tl,mean,19.1,0.5,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_007,OAXAGP1_SSD01,core,LN_total,INLF-tl,mean,23,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_008,CML254,core,LN_total,INLF-tl,mean,21.3,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_009,CML333,core,LN_total,INLF-tl,mean,18.5,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_010,CML444,core,LN_total,INLF-tl,mean,19.9,0.4,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_011,CML52,core,LN_total,INLF-tl,mean,20.7,0.4,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_012,CLA127,core,LN_total,INLF-tl,mean,20,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_013,GCP_195,core,LN_total,INLF-tl,mean,20.3,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_014,CML431,core,LN_total,INLF-tl,mean,19.7,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_015,tams_125,core,LN_total,INLF-tl,mean,20.8,0.4,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_016,CML277,core,LN_total,INLF-tl,mean,18.4,0.3,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_017,CLA105,core,LN_total,INLF-tl,mean,17,0.6,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_018,KI3,core,LN_total,INLF-tl,mean,19,0.4,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_019,DTMA_236,core,LN_total,INLF-tl,mean,19.1,0.4,0.72,photogrid_mx.es,5,NA
photogrid,mexico,22.2.48280,20.812916,-105.222415,PG_020,DTMA_6,core,LN_total,INLF-tl,mean,20.2,0.5,0.72,photogrid_mx.es,5,NA
