"Date","Harvest","Measurement","pot","treatment","rep","line","order","genotype","total_biomass","tassel_fw","earno.","ear_fw","Leaf.tip","tot_leaf","deltaP","eark_l","eark_w","est_kernel","earleaf","Collars","Node.Base","peduncle.base","peduncleheight","eardweightav","pandweight","anthesisadj","silkingadj","Silking","Anthesis","tt_HG_silk","tt_HG_anth","ttasi","harv2silk","harv2anth","finicoll","silk","anthes","fini"
2024-04-04,"1","1","1668","nightbreak","1","2","17","B73",500,NA,1,NA,20,20,6,40,15,600,14,20,4,211,211,NA,1.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0"
2024-04-08,"2","1","1842","control","1","1","4","2369",468,2.606,NA,16.562,17,17,5,44,14,616,12,17,4,247,247,NA,NA,2024-04-05,2024-04-05,2024-04-05,2024-04-05,65.394910310508,65.394910310508,0,3,3,"1","1","1","1"
2024-04-08,"2","2","1485","control","1","1","13","B73",498,2.997,NA,11.674,19,19,6,41,14,574,13,19,4,225.5,225.5,NA,NA,2024-04-07,2024-04-04,2024-04-04,2024-04-07,65.3357157684216,68.8288986938638,-3.49318292544221,4,1,"1","1","1","1"
2024-04-08,"2","3","1603","control","1","2","22","LH123Ht",339,3.915,NA,19.38,17,17,6,37,12,444,11,17,3,262.5,262.5,2.099,1.24,2024-04-04,2024-04-04,2024-04-04,2024-04-04,64.2109756872823,64.2109756872823,0,4,4,"1","1","1","1"
2024-04-08,"2","4","1486","control","1","2","16","BA90",375,2.302,NA,12.11,16,16,5,42,12,504,11,16,4,199,199,0.526,0.79,2024-03-29,2024-04-03,2024-04-03,2023-05-29,64.0818942775134,57.653851716365,6.4280425611484,5,10,"1","1","1","1"
2024-04-08,"2","5","1913","control","2","1","7","B73",532,5.17,NA,9.457,18,18,6,33,18,594,12,18,4,225.5,225.5,0.95,1.58,2024-04-05,2024-04-05,2024-04-05,2024-04-05,65.394910310508,65.394910310508,0,3,3,"1","1","1","1"
2024-04-08,"2","6","1482","control","2","2","27","LH123Ht",440,5.596,NA,20.074,17,17,6,39,12,468,11,17,3,237,237,2.05,1.61,2024-04-04,2024-04-04,2024-04-04,2024-04-04,64.2109756872823,64.2109756872823,0,4,4,"1","1","1","1"
2024-04-08,"2","6","1841","control","1","1","3","CML341",490,7.571,NA,14.856,16,16,5,35,12,420,11,16,4,190,190,0.85,2.4,2024-04-05,2024-04-05,2024-04-05,2024-04-05,65.394910310508,65.394910310508,0,3,3,"1","1","1","1"
2024-04-08,"2","7","1915","control","2","1","9","2369",498,1.509,NA,23.234,17,17,5,48,12,576,12,17,3,241,241,1.2255,0.39,2024-04-05,2024-04-05,2024-04-05,2024-04-05,66.5196503916474,66.5196503916474,0,3,3,"1","1","1","1"
2024-04-08,"2","8","1483","control","1","2","26","Tzi9",444,12.476,NA,13.891,19,19,8,45,16,720,11,19,4,230,230,1.384,5.07,2024-04-05,2024-04-06,2024-04-06,2024-04-05,67.6821190740032,66.5196503916474,1.16246868235579,2,3,"1","1","1","1"
