pot,genotype,treatment,earleaf,tot_leaf,Node.Base,Leaf,idist,sheathl,sheath_c_fil,llength,frst_idist_rnk
1668,B73,nightbreak,14,20,4,1,NA,NA,3.96969697,NA,5
1668,B73,nightbreak,14,20,4,2,NA,NA,7.065712704,NA,5
1668,B73,nightbreak,14,20,4,3,NA,NA,11.4648537,NA,5
1668,B73,nightbreak,14,20,4,4,NA,NA,16.37125152,NA,5
1668,B73,nightbreak,14,20,4,5,2,18,18,59,5
1668,B73,nightbreak,14,20,4,6,5.2,19.8,19.8,73,5
1668,B73,nightbreak,14,20,4,7,9.8,19.5,19.5,83.5,5
1668,B73,nightbreak,14,20,4,8,11,18.7,18.7,91.3,5
1668,B73,nightbreak,14,20,4,9,13,17,17,97,5
1668,B73,nightbreak,14,20,4,10,17.5,15.5,15.5,103,5
1668,B73,nightbreak,14,20,4,11,18.5,13.5,13.5,99.5,5
1668,B73,nightbreak,14,20,4,12,20.7,13.3,13.3,100,5
1668,B73,nightbreak,14,20,4,13,22,12.5,12.5,92.8,5
1668,B73,nightbreak,14,20,4,14,21.6,12,12,88.7,5
1668,B73,nightbreak,14,20,4,15,16.2,12.5,12.5,81,5
1668,B73,nightbreak,14,20,4,16,15,11.5,11.5,70,5
1668,B73,nightbreak,14,20,4,17,9,12,12,60.5,5
1668,B73,nightbreak,14,20,4,18,4.5,12,12,55,5
1668,B73,nightbreak,14,20,4,19,3.5,12,12,45.5,5
1668,B73,nightbreak,14,20,4,20,4.5,7.6,7.6,30.4,5
1842,2369,control,12,17,4,1,NA,NA,4.76875,NA,6
1842,2369,control,12,17,4,2,NA,NA,9.207412121,NA,6
1842,2369,control,12,17,4,3,NA,NA,14.3576834,NA,6
1842,2369,control,12,17,4,4,NA,NA,19.97939574,NA,6
1842,2369,control,12,17,4,5,NA,NA,26.23266122,NA,6
1842,2369,control,12,17,4,6,13,24,24,82.5,6
1842,2369,control,12,17,4,7,10.7,22.8,22.8,94.5,6
1842,2369,control,12,17,4,8,9.8,20.7,20.7,100.8,6
1842,2369,control,12,17,4,9,16.5,17.7,17.7,98.3,6
1842,2369,control,12,17,4,10,19,16,16,101.5,6
1842,2369,control,12,17,4,11,22.5,15,15,99.5,6
1842,2369,control,12,17,4,12,21.5,14,14,90.5,6
1842,2369,control,12,17,4,13,21,13.7,13.7,79.3,6
1842,2369,control,12,17,4,14,24,14.5,14.5,73,6
1842,2369,control,12,17,4,15,21,14.6,14.6,62.9,6
1842,2369,control,12,17,4,16,21,14.5,14.5,48.5,6
1842,2369,control,12,17,4,17,19,14,14,26.5,6
1485,B73,control,13,19,4,1,NA,NA,3.96969697,NA,5
1485,B73,control,13,19,4,2,NA,NA,8.852034701,NA,5
1485,B73,control,13,19,4,3,NA,NA,14.1014655,NA,5
1485,B73,control,13,19,4,4,NA,12.2,12.2,46.8,5
1485,B73,control,13,19,4,5,2,19.5,19.5,61.5,5
1485,B73,control,13,19,4,6,6.2,20.8,20.8,74,5
1485,B73,control,13,19,4,7,9.5,20.3,20.3,85.5,5
1485,B73,control,13,19,4,8,8.3,20.3,20.3,95.2,5
1485,B73,control,13,19,4,9,13.3,17.1,17.1,99.6,5
1485,B73,control,13,19,4,10,14.9,15.1,15.1,99.7,5
1485,B73,control,13,19,4,11,19.3,14,14,99,5
1485,B73,control,13,19,4,12,19,13.5,13.5,96,5
1485,B73,control,13,19,4,13,18,14,14,89.5,5
1485,B73,control,13,19,4,14,17.5,12.5,12.5,83.5,5
1485,B73,control,13,19,4,15,19.5,13,13,77.5,5
1485,B73,control,13,19,4,16,19.5,13.5,13.5,67.5,5
1485,B73,control,13,19,4,17,14.5,13,13,60.5,5
1485,B73,control,13,19,4,18,12.5,12.5,12.5,49.5,5
1485,B73,control,13,19,4,19,11.5,11.5,11.5,39.5,5
1603,LH123Ht,control,11,17,3,1,NA,NA,6.821875,NA,4
1603,LH123Ht,control,11,17,3,2,NA,NA,15.54725877,NA,4
1603,LH123Ht,control,11,17,3,3,NA,NA,21.1890645,NA,4
1603,LH123Ht,control,11,17,3,4,1,NA,27.43997207,NA,4
1603,LH123Ht,control,11,17,3,5,4,28.3,28.3,79.7,4
1603,LH123Ht,control,11,17,3,6,10.5,27.5,27.5,90,4
1603,LH123Ht,control,11,17,3,7,13.2,23.8,23.8,95.5,4
1603,LH123Ht,control,11,17,3,8,17.3,19.5,19.5,100,4
1603,LH123Ht,control,11,17,3,9,22,17.5,17.5,99,4
1603,LH123Ht,control,11,17,3,10,23,17.3,17.3,94.2,4
1603,LH123Ht,control,11,17,3,11,25.5,17.5,17.5,83,4
1603,LH123Ht,control,11,17,3,12,20.5,19,19,77.5,4
1603,LH123Ht,control,11,17,3,13,20.5,18.5,18.5,68.5,4
1603,LH123Ht,control,11,17,3,14,18.1,18.4,18.4,62.5,4
1603,LH123Ht,control,11,17,3,15,20.8,18.1,18.1,52.5,4
1603,LH123Ht,control,11,17,3,16,19.1,18,18,34.5,4
1603,LH123Ht,control,11,17,3,17,23,16,16,12.5,4
1486,BA90,control,11,16,4,1,NA,NA,4.209375,NA,5
1486,BA90,control,11,16,4,2,NA,NA,8.519948205,NA,5
1486,BA90,control,11,16,4,3,NA,NA,14.57854579,NA,5
1486,BA90,control,11,16,4,4,NA,NA,21.50657958,NA,5
1486,BA90,control,11,16,4,5,1.7,22.3,22.3,50,5
1486,BA90,control,11,16,4,6,5.3,23,23,68,5
1486,BA90,control,11,16,4,7,9.5,22.5,22.5,80,5
1486,BA90,control,11,16,4,8,13.2,20.3,20.3,90,5
1486,BA90,control,11,16,4,9,13.8,16.7,16.7,91.8,5
1486,BA90,control,11,16,4,10,16,15,15,92,5
1486,BA90,control,11,16,4,11,20.5,14.2,14.2,86.8,5
1486,BA90,control,11,16,4,12,19.5,15,15,78.5,5
1486,BA90,control,11,16,4,13,25.7,14.8,14.8,72,5
1486,BA90,control,11,16,4,14,19.8,14.5,14.5,61,5
1486,BA90,control,11,16,4,15,18,8.5,8.5,57,5
1486,BA90,control,11,16,4,16,16.5,13.5,13.5,34,5
1913,B73,control,12,18,4,1,NA,NA,3.96969697,NA,5
1913,B73,control,12,18,4,2,NA,NA,8.643458313,NA,5
1913,B73,control,12,18,4,3,NA,NA,13.66120849,NA,5
1913,B73,control,12,18,4,4,NA,16.5,16.5,48.5,5
1913,B73,control,12,18,4,5,2.5,18,18,61,5
1913,B73,control,12,18,4,6,8,19.8,19.8,71.2,5
1913,B73,control,12,18,4,7,12,20.8,20.8,82.7,5
1913,B73,control,12,18,4,8,12.1,19.4,19.4,91,5
1913,B73,control,12,18,4,9,16.4,17,17,99,5
1913,B73,control,12,18,4,10,18,15.5,15.5,101.5,5
1913,B73,control,12,18,4,11,20,14,14,100,5
1913,B73,control,12,18,4,12,22.5,13.5,13.5,100,5
1913,B73,control,12,18,4,13,17.5,13.2,13.2,91.8,5
1913,B73,control,12,18,4,14,18,13,13,82,5
1913,B73,control,12,18,4,15,15,13.5,13.5,74.5,5
1913,B73,control,12,18,4,16,15,13.5,13.5,67.5,5
1913,B73,control,12,18,4,17,14.5,12.7,12.7,55.8,5
1913,B73,control,12,18,4,18,12.5,12.5,12.5,42.5,5
1482,LH123Ht,control,11,17,3,1,NA,NA,6.821875,NA,4
1482,LH123Ht,control,11,17,3,2,NA,NA,16.38773478,NA,4
1482,LH123Ht,control,11,17,3,3,NA,23.5,23.5,39.5,4
1482,LH123Ht,control,11,17,3,4,1.5,28.5,28.5,64,4
1482,LH123Ht,control,11,17,3,5,7,30.5,30.5,82,4
1482,LH123Ht,control,11,17,3,6,13.5,28.5,28.5,92.5,4
1482,LH123Ht,control,11,17,3,7,11.5,24.5,24.5,103,4
1482,LH123Ht,control,11,17,3,8,17.5,20.5,20.5,106.5,4
1482,LH123Ht,control,11,17,3,9,21.5,18,18,105.5,4
1482,LH123Ht,control,11,17,3,10,23.5,18,18,94.5,4
1482,LH123Ht,control,11,17,3,11,24,19.5,19.5,87.5,4
1482,LH123Ht,control,11,17,3,12,22,20,20,78,4
