"range","row","block","LN_ear","LN_total","dlta_p","Leaf","Width","rel_n","rel_e","rel_t","t_i","un_num","genotype","Length","LA","av_inter_lngth","abve_height","TH","EH","origin"
3,12,4,19,26,7,5,2.6,0.192307692,-14,-7.913907285,12.91390728,"100_1_2","cml258",21,4.095,20.42857143,143,253,110,"france"
3,12,4,19,26,7,9,5.2,0.346153846,-10,-3.913907285,12.91390728,"100_1_2","cml258",48,18.72,20.42857143,143,253,110,"france"
3,12,4,19,26,7,13,7.2,0.5,-6,0.086092715,12.91390728,"100_1_2","cml258",91.5,49.41,20.42857143,143,253,110,"france"
3,12,4,19,26,7,17,9.6,0.653846154,-2,4.086092715,12.91390728,"100_1_2","cml258",100,72,20.42857143,143,253,110,"france"
3,12,4,19,26,7,19,5.5,0.730769231,0,6.086092715,12.91390728,"100_1_2","cml258",92,37.95,20.42857143,143,253,110,"france"
3,12,4,19,26,7,21,7.4,0.807692308,2,8.086092715,12.91390728,"100_1_2","cml258",83,46.065,20.42857143,143,253,110,"france"
3,12,4,19,26,7,22,10,0.846153846,3,9.086092715,12.91390728,"100_1_2","cml258",75,56.25,20.42857143,143,253,110,"france"
3,12,4,19,26,7,25,7.6,0.961538462,6,12.08609272,12.91390728,"100_1_2","cml258",54,30.78,20.42857143,143,253,110,"france"
3,12,1,14,19,5,7,3.3,0.368421053,-7,-1.278145695,8.278145695,"100_2_1","hip9806a",50,12.375,18.8,94,173,79,"mexico"
3,12,1,14,19,5,8,NA,0.421052632,-6,-0.278145695,8.278145695,"100_2_1","hip9806a",NA,NA,18.8,94,173,79,"mexico"
3,12,1,14,19,5,10,5.1,0.526315789,-4,1.721854305,8.278145695,"100_2_1","hip9806a",82.3,31.47975,18.8,94,173,79,"mexico"
3,12,1,14,19,5,11,NA,0.578947368,-3,2.721854305,8.278145695,"100_2_1","hip9806a",NA,NA,18.8,94,173,79,"mexico"
3,12,1,14,19,5,14,7,0.736842105,0,5.721854305,8.278145695,"100_2_1","hip9806a",76,39.9,18.8,94,173,79,"mexico"
3,12,1,14,19,5,16,8,0.842105263,2,7.721854305,8.278145695,"100_2_1","hip9806a",64,38.4,18.8,94,173,79,"mexico"
3,12,1,14,19,5,18,7,0.947368421,4,9.721854305,8.278145695,"100_2_1","hip9806a",51.5,27.0375,18.8,94,173,79,"mexico"
3,12,1,14,19,5,20,NA,1.052631579,6,11.7218543,8.278145695,"100_2_1","hip9806a",NA,NA,18.8,94,173,79,"mexico"
3,12,1,14,19,5,23,NA,1.210526316,9,14.7218543,8.278145695,"100_2_1","hip9806a",NA,NA,18.8,94,173,79,"mexico"
3,12,4,19,25,6,5,2,0.2,-14,-7.251655629,12.25165563,"100_2_2","cml258",18,2.7,18.83333333,113,239,126,"france"
3,12,4,19,25,6,9,4.5,0.36,-10,-3.251655629,12.25165563,"100_2_2","cml258",54.5,18.39375,18.83333333,113,239,126,"france"
3,12,4,19,25,6,13,6.2,0.52,-6,0.748344371,12.25165563,"100_2_2","cml258",96,44.64,18.83333333,113,239,126,"france"
3,12,4,19,25,6,17,7.6,0.68,-2,4.748344371,12.25165563,"100_2_2","cml258",105,59.85,18.83333333,113,239,126,"france"
3,12,4,19,25,6,19,9,0.76,0,6.748344371,12.25165563,"100_2_2","cml258",89,60.075,18.83333333,113,239,126,"france"
3,12,4,19,25,6,21,9,0.84,2,8.748344371,12.25165563,"100_2_2","cml258",76,51.3,18.83333333,113,239,126,"france"
3,12,4,19,25,6,22,8,0.88,3,9.748344371,12.25165563,"100_2_2","cml258",68.5,41.1,18.83333333,113,239,126,"france"
3,12,4,19,25,6,24,6.5,0.96,5,11.74834437,12.25165563,"100_2_2","cml258",54.5,26.56875,18.83333333,113,239,126,"france"
3,12,1,14,21,7,7,4,0.333333333,-7,-2.602649007,9.602649007,"100_3_1","hip9806a",51,15.3,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,8,NA,0.380952381,-6,-1.602649007,9.602649007,"100_3_1","hip9806a",NA,NA,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,10,5.8,0.476190476,-4,0.397350993,9.602649007,"100_3_1","hip9806a",85.5,37.1925,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,11,NA,0.523809524,-3,1.397350993,9.602649007,"100_3_1","hip9806a",NA,NA,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,14,8,0.666666667,0,4.397350993,9.602649007,"100_3_1","hip9806a",80,48,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,16,8,0.761904762,2,6.397350993,9.602649007,"100_3_1","hip9806a",72,43.2,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,18,8,0.857142857,4,8.397350993,9.602649007,"100_3_1","hip9806a",54,32.4,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,20,4,0.952380952,6,10.39735099,9.602649007,"100_3_1","hip9806a",31,9.3,14.71428571,103,187,84,"mexico"
3,12,1,14,21,7,23,NA,1.095238095,9,13.39735099,9.602649007,"100_3_1","hip9806a",NA,NA,14.71428571,103,187,84,"mexico"
3,12,4,22,27,5,5,1.8,0.185185185,-17,-8.57615894,13.57615894,"100_3_2","cml258",15,2.025,27,135,256,121,"france"
3,12,4,22,27,5,9,4,0.333333333,-13,-4.57615894,13.57615894,"100_3_2","cml258",53,15.9,27,135,256,121,"france"
3,12,4,22,27,5,13,7.5,0.481481481,-9,-0.57615894,13.57615894,"100_3_2","cml258",100.5,56.53125,27,135,256,121,"france"
3,12,4,22,27,5,17,10.6,0.62962963,-5,3.42384106,13.57615894,"100_3_2","cml258",103,81.885,27,135,256,121,"france"
3,12,4,22,27,5,22,9,0.814814815,0,8.42384106,13.57615894,"100_3_2","cml258",94,63.45,27,135,256,121,"france"
3,12,4,22,27,5,24,8,0.888888889,2,10.42384106,13.57615894,"100_3_2","cml258",74,44.4,27,135,256,121,"france"
3,12,4,22,27,5,26,8.3,0.962962963,4,12.42384106,13.57615894,"100_3_2","cml258",59,36.7275,27,135,256,121,"france"
3,12,1,14,21,7,7,4,0.333333333,-7,-2.602649007,9.602649007,"100_5_1","hip9806a",54.2,16.26,13,91,180,89,"mexico"
3,12,1,14,21,7,8,NA,0.380952381,-6,-1.602649007,9.602649007,"100_5_1","hip9806a",NA,NA,13,91,180,89,"mexico"
3,12,1,14,21,7,10,6,0.476190476,-4,0.397350993,9.602649007,"100_5_1","hip9806a",87.9,39.555,13,91,180,89,"mexico"
3,12,1,14,21,7,11,NA,0.523809524,-3,1.397350993,9.602649007,"100_5_1","hip9806a",NA,NA,13,91,180,89,"mexico"
3,12,1,14,21,7,14,7,0.666666667,0,4.397350993,9.602649007,"100_5_1","hip9806a",83,43.575,13,91,180,89,"mexico"
3,12,1,14,21,7,16,8,0.761904762,2,6.397350993,9.602649007,"100_5_1","hip9806a",70,42,13,91,180,89,"mexico"
