genotype,origin,trait_name,value,fpca_source,trait
2369,france,LN_total,19.16666667,NA,mean
b104,france,LN_total,19.33333333,NA,mean
b37,france,LN_total,16.33333333,NA,mean
b73,france,LN_total,20.16666667,NA,mean
ba90,france,LN_total,23.66666667,NA,mean
barb5_ssd01,france,LN_total,22.75,NA,mean
bov_635,france,LN_total,20.33333333,NA,mean
brvi142_hd102,france,LN_total,19.33333333,NA,mean
cal14113,france,LN_total,27.5,NA,mean
cal1440,france,LN_total,22.33333333,NA,mean
cal1469,france,LN_total,24,NA,mean
cal152,france,LN_total,24.5,NA,mean
cla105,france,LN_total,21.33333333,NA,mean
cla127,france,LN_total,28,NA,mean
cla41,france,LN_total,23.33333333,NA,mean
cml10,france,LN_total,26,NA,mean
cml103,france,LN_total,23,NA,mean
cml196,france,LN_total,28,NA,mean
cml228,france,LN_total,21.66666667,NA,mean
cml247,france,LN_total,24.33333333,NA,mean
cml254,france,LN_total,29.33333333,NA,mean
cml258,france,LN_total,26.33333333,NA,mean
cml277,france,LN_total,21.25,NA,mean
cml281,france,LN_total,NA,NA,mean
cml287,france,LN_total,26.75,NA,mean
cml312,france,LN_total,NA,NA,mean
cml322,france,LN_total,23,NA,mean
cml328,france,LN_total,21.66666667,NA,mean
cml331,france,LN_total,26.66666667,NA,mean
cml332,france,LN_total,23,NA,mean
cml333,france,LN_total,22,NA,mean
cml341,france,LN_total,23.42857143,NA,mean
cml373,france,LN_total,23.33333333,NA,mean
cml424,france,LN_total,20.66666667,NA,mean
cml425,france,LN_total,27,NA,mean
cml440,france,LN_total,24,NA,mean
cml444,france,LN_total,25.33333333,NA,mean
cml456,france,LN_total,17,NA,mean
cml460,france,LN_total,20.33333333,NA,mean
cml471,france,LN_total,22,NA,mean
cml473,france,LN_total,24,NA,mean
cml5,france,LN_total,27,NA,mean
cml52,france,LN_total,23.6,NA,mean
cml537,france,LN_total,21,NA,mean
cml541,france,LN_total,26,NA,mean
cml542,france,LN_total,20,NA,mean
cml545,france,LN_total,18.66666667,NA,mean
cml550,france,LN_total,23,NA,mean
cml566,france,LN_total,26.33333333,NA,mean
cml568,france,LN_total,24.33333333,NA,mean
cml570,france,LN_total,23.5,NA,mean
cml576,france,LN_total,25,NA,mean
cml587,france,LN_total,21,NA,mean
cml592,france,LN_total,23,NA,mean
cml593,france,LN_total,26.2,NA,mean
cml69,france,LN_total,21.66666667,NA,mean
cuba54_hd102,france,LN_total,24.5,NA,mean
cuba54_hd105,france,LN_total,26,NA,mean
czl04021,france,LN_total,24.66666667,NA,mean
czl1358,france,LN_total,NA,NA,mean
czl1465,france,LN_total,25.5,NA,mean
czl15003,france,LN_total,23,NA,mean
czl15007,france,LN_total,25,NA,mean
czl15081,france,LN_total,26.33333333,NA,mean
czl15123,france,LN_total,22,NA,mean
czl15194,france,LN_total,25,NA,mean
czl15206,france,LN_total,22.33333333,NA,mean
czl16020,france,LN_total,25.33333333,NA,mean
czl16078,france,LN_total,26.66666667,NA,mean
czl17015,france,LN_total,18,NA,mean
czl20003,france,LN_total,26.66666667,NA,mean
dtma_236,france,LN_total,26,NA,mean
dtma_250,france,LN_total,25,NA,mean
dtma_29,france,LN_total,26.33333333,NA,mean
ecua476_ssd01,france,LN_total,15.66666667,NA,mean
em1197,france,LN_total,24,NA,mean
gcp_193,france,LN_total,25,NA,mean
guad6_ssd01,france,LN_total,23.83333333,NA,mean
hip9801a,france,LN_total,23,NA,mean
hip9802c,france,LN_total,27,NA,mean
hip9803b,france,LN_total,26.33333333,NA,mean
hip9806a,france,LN_total,26.5,NA,mean
hip9806b,france,LN_total,25.66666667,NA,mean
hip9810a,france,LN_total,23,NA,mean
k64r,france,LN_total,22.33333333,NA,mean
ki11,france,LN_total,21,NA,mean
ki14,france,LN_total,26,NA,mean
ki3,france,LN_total,22.33333333,NA,mean
lh123ht,france,LN_total,18.66666667,NA,mean
lh195,france,LN_total,19.66666667,NA,mean
lp1037,france,LN_total,15.66666667,NA,mean
m37w,france,LN_total,18.66666667,NA,mean
mo17,france,LN_total,16,NA,mean
mor_17,france,LN_total,23.5,NA,mean
nc338,france,LN_total,20.5,NA,mean
nc358,france,LN_total,21,NA,mean
nilasq4g31i04,france,LN_total,18.83333333,NA,mean
nilasq4g31i06,france,LN_total,19.66666667,NA,mean
nilasq4g41i07,france,LN_total,19.4,NA,mean
nilasq4g71i03,france,LN_total,18.83333333,NA,mean
oax_70_ssd,france,LN_total,22,NA,mean
oaxagp1_ssd01,france,LN_total,23.33333333,NA,mean
oh43,france,LN_total,14,NA,mean
pdz687_hd105,france,LN_total,21,NA,mean
pdz689_hd201,france,LN_total,21.66666667,NA,mean
ph207,france,LN_total,16.58333333,NA,mean
sc_malawi,france,LN_total,22,NA,mean
tams_125,france,LN_total,28.5,NA,mean
tx601,france,LN_total,30.33333333,NA,mean
tzi8,france,LN_total,22.625,NA,mean
tzi9,france,LN_total,22,NA,mean
vl1018816,france,LN_total,24.66666667,NA,mean
vl1253,france,LN_total,26,NA,mean
2369,france,t_i,8.388520971,NA,mean
b104,france,t_i,8.498896247,NA,mean
b37,france,t_i,6.51214128,NA,mean
b73,france,t_i,9.050772627,NA,mean
ba90,france,t_i,11.36865342,NA,mean
barb5_ssd01,france,t_i,10.7615894,NA,mean
bov_635,france,t_i,9.161147903,NA,mean
brvi142_hd102,france,t_i,8.498896247,NA,mean
cal14113,france,t_i,13.90728477,NA,mean
cal1440,france,t_i,10.48565121,NA,mean
cal1469,france,t_i,11.58940397,NA,mean
cal152,france,t_i,11.9205298,NA,mean
cla105,france,t_i,9.823399558,NA,mean
cla127,france,t_i,14.2384106,NA,mean
cla41,france,t_i,11.14790287,NA,mean
cml10,france,t_i,12.91390728,NA,mean
cml103,france,t_i,10.92715232,NA,mean
cml196,france,t_i,14.2384106,NA,mean
cml228,france,t_i,10.04415011,NA,mean
cml247,france,t_i,11.81015452,NA,mean
cml254,france,t_i,15.12141281,NA,mean
cml258,france,t_i,13.13465784,NA,mean
cml277,france,t_i,9.76821192,NA,mean
cml281,france,t_i,NA,NA,mean
cml287,france,t_i,13.41059603,NA,mean
cml312,france,t_i,NA,NA,mean
cml322,france,t_i,10.92715232,NA,mean
cml328,france,t_i,10.04415011,NA,mean
cml331,france,t_i,13.35540839,NA,mean
cml332,france,t_i,10.92715232,NA,mean
cml333,france,t_i,10.26490066,NA,mean
cml341,france,t_i,11.21097445,NA,mean
cml373,france,t_i,11.14790287,NA,mean
cml424,france,t_i,9.381898454,NA,mean
cml425,france,t_i,13.57615894,NA,mean
cml440,france,t_i,11.58940398,NA,mean
cml444,france,t_i,12.47240618,NA,mean
cml456,france,t_i,6.953642384,NA,mean
cml460,france,t_i,9.161147903,NA,mean
cml471,france,t_i,10.26490066,NA,mean
cml473,france,t_i,11.58940398,NA,mean
cml5,france,t_i,13.57615894,NA,mean
cml52,france,t_i,11.32450331,NA,mean
cml537,france,t_i,9.602649007,NA,mean
cml541,france,t_i,12.91390728,NA,mean
cml542,france,t_i,8.940397351,NA,mean
cml545,france,t_i,8.057395143,NA,mean
cml550,france,t_i,10.92715232,NA,mean
cml566,france,t_i,13.13465783,NA,mean
cml568,france,t_i,11.81015452,NA,mean
cml570,france,t_i,11.25827815,NA,mean
cml576,france,t_i,12.25165563,NA,mean
cml587,france,t_i,9.602649007,NA,mean
cml592,france,t_i,10.92715232,NA,mean
cml593,france,t_i,13.04635761,NA,mean
cml69,france,t_i,10.04415011,NA,mean
cuba54_hd102,france,t_i,11.9205298,NA,mean
cuba54_hd105,france,t_i,12.91390729,NA,mean
czl04021,france,t_i,12.03090508,NA,mean
czl1358,france,t_i,NA,NA,mean
czl1465,france,t_i,12.58278146,NA,mean
czl15003,france,t_i,10.92715232,NA,mean
czl15007,france,t_i,12.25165563,NA,mean
czl15081,france,t_i,13.13465783,NA,mean
czl15123,france,t_i,10.26490066,NA,mean
czl15194,france,t_i,12.25165563,NA,mean
czl15206,france,t_i,10.48565121,NA,mean
czl16020,france,t_i,12.47240618,NA,mean
czl16078,france,t_i,13.35540839,NA,mean
czl17015,france,t_i,7.61589404,NA,mean
czl20003,france,t_i,13.35540839,NA,mean
dtma_236,france,t_i,12.91390728,NA,mean
dtma_250,france,t_i,12.25165563,NA,mean
dtma_29,france,t_i,13.13465783,NA,mean
ecua476_ssd01,france,t_i,6.070640176,NA,mean
em1197,france,t_i,11.58940397,NA,mean
gcp_193,france,t_i,12.25165563,NA,mean
guad6_ssd01,france,t_i,11.4790287,NA,mean
hip9801a,france,t_i,10.92715232,NA,mean
hip9802c,france,t_i,13.57615894,NA,mean
hip9803b,france,t_i,13.13465783,NA,mean
hip9806a,france,t_i,13.24503311,NA,mean
hip9806b,france,t_i,12.69315673,NA,mean
hip9810a,france,t_i,10.92715232,NA,mean
k64r,france,t_i,10.48565121,NA,mean
ki11,france,t_i,9.602649006,NA,mean
ki14,france,t_i,12.91390728,NA,mean
ki3,france,t_i,10.48565121,NA,mean
lh123ht,france,t_i,8.057395144,NA,mean
lh195,france,t_i,8.719646799,NA,mean
lp1037,france,t_i,6.070640176,NA,mean
m37w,france,t_i,8.057395143,NA,mean
mo17,france,t_i,6.291390728,NA,mean
mor_17,france,t_i,11.25827815,NA,mean
nc338,france,t_i,9.271523179,NA,mean
nc358,france,t_i,9.602649006,NA,mean
nilasq4g31i04,france,t_i,8.16777042,NA,mean
nilasq4g31i06,france,t_i,8.719646799,NA,mean
nilasq4g41i07,france,t_i,8.543046357,NA,mean
nilasq4g71i03,france,t_i,8.167770419,NA,mean
oax_70_ssd,france,t_i,10.26490066,NA,mean
oaxagp1_ssd01,france,t_i,11.14790287,NA,mean
oh43,france,t_i,4.966887417,NA,mean
pdz687_hd105,france,t_i,9.602649007,NA,mean
pdz689_hd201,france,t_i,10.04415011,NA,mean
ph207,france,t_i,6.677704194,NA,mean
sc_malawi,france,t_i,10.26490066,NA,mean
tams_125,france,t_i,14.56953643,NA,mean
tx601,france,t_i,15.78366446,NA,mean
tzi8,france,t_i,10.67880795,NA,mean
tzi9,france,t_i,10.26490066,NA,mean
vl1018816,france,t_i,12.03090508,NA,mean
vl1253,france,t_i,12.91390728,NA,mean
2369,france,fpc1,-3.91589519,fe_b_n,mean
b104,france,fpc1,2.116719992,fe_b_n,mean
b37,france,fpc1,-4.775574724,fe_b_n,mean
b73,france,fpc1,-0.678233267,fe_b_n,mean
ba90,france,fpc1,9.984927657,fe_b_n,mean
barb5_ssd01,france,fpc1,-5.714513781,fe_b_n,mean
bov_635,france,fpc1,5.569420373,fe_b_n,mean
brvi142_hd102,france,fpc1,1.433513119,fe_b_n,mean
cal14113,france,fpc1,12.62478784,fe_b_n,mean
cal1440,france,fpc1,7.250789431,fe_b_n,mean
cal1469,france,fpc1,14.25504079,fe_b_n,mean
cal152,france,fpc1,1.790810076,fe_b_n,mean
cla105,france,fpc1,18.50719206,fe_b_n,mean
