genotype	origin	trait_name	value	fpca_source	trait
2369	combined	resid_longlength_ti	-5.24162193147967	NA	mean
2369	france	resid_longlength_ti	-6.2661116079993	NA	mean
2369	mexico	resid_longlength_ti	-4.21713225496003	NA	mean
b104	combined	resid_longlength_ti	7.94271851361137	NA	mean
b104	france	resid_longlength_ti	2.05314740225863	NA	mean
b104	mexico	resid_longlength_ti	13.8322896249641	NA	mean
b37	combined	resid_longlength_ti	-4.73804054999703	NA	mean
b37	france	resid_longlength_ti	-4.47373773056377	NA	mean
b37	mexico	resid_longlength_ti	-5.00234336943029	NA	mean
b73	combined	resid_longlength_ti	-3.8971014333306	NA	mean
b73	france	resid_longlength_ti	-4.22213427295291	NA	mean
b73	mexico	resid_longlength_ti	-3.57206859370828	NA	mean
ba90	combined	resid_longlength_ti	3.98899781405502	NA	mean
ba90	france	resid_longlength_ti	5.43411664006024	NA	mean
ba90	mexico	resid_longlength_ti	2.5438789880498	NA	mean
barb5_ssd01	combined	resid_longlength_ti	-11.8580868234977	NA	mean
barb5_ssd01	france	resid_longlength_ti	-14.7869140977077	NA	mean
barb5_ssd01	mexico	resid_longlength_ti	-8.92925954928766	NA	mean
bov_635	combined	resid_longlength_ti	1.8882506116539	NA	mean
bov_635	france	resid_longlength_ti	5.13634392061065	NA	mean
bov_635	mexico	resid_longlength_ti	-1.35984269730286	NA	mean
brvi142_hd102	combined	resid_longlength_ti	1.54534948300328	NA	mean
brvi142_hd102	france	resid_longlength_ti	-0.0250777108974906	NA	mean
brvi142_hd102	mexico	resid_longlength_ti	3.11577667690405	NA	mean
cal14113	combined	resid_longlength_ti	1.93910068456855	NA	mean
cal14113	france	resid_longlength_ti	0.555013770591862	NA	mean
cal14113	mexico	resid_longlength_ti	3.32318759854525	NA	mean
cal1440	combined	resid_longlength_ti	9.68256773544351	NA	mean
cal1440	france	resid_longlength_ti	3.72896593727444	NA	mean
cal1440	mexico	resid_longlength_ti	15.6361695336126	NA	mean
cal1469	combined	resid_longlength_ti	16.9109484398897	NA	mean
cal1469	france	resid_longlength_ti	10.7210634959046	NA	mean
cal1469	mexico	resid_longlength_ti	23.1008333838748	NA	mean
cal152	combined	resid_longlength_ti	-12.4509377654582	NA	mean
cal152	france	resid_longlength_ti	-8.28779939543902	NA	mean
cal152	mexico	resid_longlength_ti	-16.6140761354773	NA	mean
cla105	combined	resid_longlength_ti	18.5874152220608	NA	mean
cla105	france	resid_longlength_ti	23.7590564138285	NA	mean
cla105	mexico	resid_longlength_ti	13.4157740302931	NA	mean
cla127	combined	resid_longlength_ti	-1.07298381179825	NA	mean
cla127	france	resid_longlength_ti	5.57367687527048	NA	mean
cla127	mexico	resid_longlength_ti	-7.71964449886698	NA	mean
cla41	combined	resid_longlength_ti	3.608770088406	NA	mean
cla41	france	resid_longlength_ti	2.94604939850443	NA	mean
cla41	mexico	resid_longlength_ti	4.27149077830758	NA	mean
cml10	combined	resid_longlength_ti	1.81181631731689	NA	mean
cml10	france	resid_longlength_ti	-1.43495560739299	NA	mean
cml10	mexico	resid_longlength_ti	5.05858824202677	NA	mean
cml103	combined	resid_longlength_ti	1.64242010664946	NA	mean
cml103	france	resid_longlength_ti	2.99239444961803	NA	mean
cml103	mexico	resid_longlength_ti	0.292445763680885	NA	mean
cml196	combined	resid_longlength_ti	-4.9002009934805	NA	mean
cml196	france	resid_longlength_ti	-4.89004069214238	NA	mean
cml196	mexico	resid_longlength_ti	-4.91036129481863	NA	mean
cml228	combined	resid_longlength_ti	13.3952051611785	NA	mean
cml228	france	resid_longlength_ti	23.5543493085266	NA	mean
cml228	mexico	resid_longlength_ti	3.23606101383037	NA	mean
cml247	combined	resid_longlength_ti	0.240128794697404	NA	mean
cml247	france	resid_longlength_ti	2.65545880656262	NA	mean
cml247	mexico	resid_longlength_ti	-2.17520121716781	NA	mean
cml254	combined	resid_longlength_ti	8.47945840776971	NA	mean
cml254	france	resid_longlength_ti	12.0840237216759	NA	mean
cml254	mexico	resid_longlength_ti	4.87489309386354	NA	mean
cml258	combined	resid_longlength_ti	4.06710909883841	NA	mean
cml258	france	resid_longlength_ti	3.44984042114333	NA	mean
cml258	mexico	resid_longlength_ti	4.68437777653348	NA	mean
cml277	combined	resid_longlength_ti	0.237525609060916	NA	mean
cml277	france	resid_longlength_ti	0.56580433705927	NA	mean
cml277	mexico	resid_longlength_ti	-0.0907531189374382	NA	mean
cml281	combined	resid_longlength_ti	-8.3035169306119	NA	mean
cml281	mexico	resid_longlength_ti	-8.3035169306119	NA	mean
cml287	combined	resid_longlength_ti	5.97114215906716	NA	mean
cml287	france	resid_longlength_ti	8.3845209925966	NA	mean
cml287	mexico	resid_longlength_ti	3.55776332553772	NA	mean
cml312	combined	resid_longlength_ti	-10.1030340633683	NA	mean
cml312	mexico	resid_longlength_ti	-10.1030340633683	NA	mean
cml322	combined	resid_longlength_ti	-3.91164235362734	NA	mean
cml322	france	resid_longlength_ti	-7.48469553358137	NA	mean
cml322	mexico	resid_longlength_ti	-0.338589173673314	NA	mean
cml328	combined	resid_longlength_ti	14.6155201629364	NA	mean
cml328	france	resid_longlength_ti	20.4114855915475	NA	mean
cml328	mexico	resid_longlength_ti	8.81955473432536	NA	mean
cml331	combined	resid_longlength_ti	6.97003968674472	NA	mean
cml331	france	resid_longlength_ti	3.47722386060753	NA	mean
cml331	mexico	resid_longlength_ti	10.4628555128819	NA	mean
cml332	combined	resid_longlength_ti	0.305410753311596	NA	mean
cml332	france	resid_longlength_ti	-4.8447787262341	NA	mean
cml332	mexico	resid_longlength_ti	5.45560023285729	NA	mean
cml333	combined	resid_longlength_ti	1.30960379169533	NA	mean
cml333	france	resid_longlength_ti	3.42560700905507	NA	mean
cml333	mexico	resid_longlength_ti	-0.806399425664413	NA	mean
cml341	combined	resid_longlength_ti	7.54036626600082	NA	mean
cml341	france	resid_longlength_ti	3.71425820753835	NA	mean
cml341	mexico	resid_longlength_ti	11.3664743244633	NA	mean
cml373	combined	resid_longlength_ti	5.87852181110862	NA	mean
cml373	france	resid_longlength_ti	5.52218202201775	NA	mean
cml373	mexico	resid_longlength_ti	6.23486160019949	NA	mean
cml424	combined	resid_longlength_ti	0.187454681085764	NA	mean
cml424	france	resid_longlength_ti	0.73457569706058	NA	mean
cml424	mexico	resid_longlength_ti	-0.359666334889053	NA	mean
