subject	plot	plant	env_code	genotype	origin	value	trait_name	fpca_source	trait
169_1_2	169	1	2	2369	france	-6.17451683247316	resid_longlength_ti_plant	NA	individual
169_2_2	169	2	2	2369	france	-9.51036975536483	resid_longlength_ti_plant	NA	individual
169_3_2	169	3	2	2369	france	-0.851669580129734	resid_longlength_ti_plant	NA	individual
59_1_2	59	1	2	2369	france	-5.7412304090857	resid_longlength_ti_plant	NA	individual
59_2_2	59	2	2	2369	france	-6.48974031215044	resid_longlength_ti_plant	NA	individual
59_3_2	59	3	2	2369	france	-9.94016822339213	resid_longlength_ti_plant	NA	individual
146_1_1	146	1	1	2369	mexico	-10.5885464996721	resid_longlength_ti_plant	NA	individual
146_2_1	146	2	1	2369	mexico	-0.119516283366691	resid_longlength_ti_plant	NA	individual
146_4_1	146	4	1	2369	mexico	-12.1215649084277	resid_longlength_ti_plant	NA	individual
56_1_1	56	1	1	2369	mexico	-1.8905840124604	resid_longlength_ti_plant	NA	individual
56_3_1	56	3	1	2369	mexico	-0.65519347373721	resid_longlength_ti_plant	NA	individual
56_5_1	56	5	1	2369	mexico	-2.36485699950395	resid_longlength_ti_plant	NA	individual
102_1_2	102	1	2	b104	france	-0.65371817179442	resid_longlength_ti_plant	NA	individual
102_2_2	102	2	2	b104	france	5.546095022252	resid_longlength_ti_plant	NA	individual
102_3_2	102	3	2	b104	france	0.659048420351387	resid_longlength_ti_plant	NA	individual
86_1_1	86	1	1	b104	mexico	17.6315099648231	resid_longlength_ti_plant	NA	individual
86_3_1	86	3	1	b104	mexico	12.0229693676536	resid_longlength_ti_plant	NA	individual
86_4_1	86	4	1	b104	mexico	10.6723445401497	resid_longlength_ti_plant	NA	individual
168_1_2	168	1	2	b37	france	-5.2783196387521	resid_longlength_ti_plant	NA	individual
168_2_2	168	2	2	b37	france	-3.69237856508602	resid_longlength_ti_plant	NA	individual
168_3_2	168	3	2	b37	france	-4.11345625828754	resid_longlength_ti_plant	NA	individual
119_3_1	119	3	1	b37	mexico	-2.91451005000249	resid_longlength_ti_plant	NA	individual
119_5_1	119	5	1	b37	mexico	-7.47874385109678	resid_longlength_ti_plant	NA	individual
119_6_1	119	6	1	b37	mexico	-5.85685519159604	resid_longlength_ti_plant	NA	individual
103_1_2	103	1	2	b73	france	-9.50286033138131	resid_longlength_ti_plant	NA	individual
103_2_2	103	2	2	b73	france	-11.3572710645579	resid_longlength_ti_plant	NA	individual
103_3_2	103	3	2	b73	france	-2.8769402538542	resid_longlength_ti_plant	NA	individual
183_1_2	183	1	2	b73	france	0.595334147125887	resid_longlength_ti_plant	NA	individual
183_2_2	183	2	2	b73	france	-2.77987085172734	resid_longlength_ti_plant	NA	individual
183_3_2	183	3	2	b73	france	-3.74529748362327	resid_longlength_ti_plant	NA	individual
204_1_2	204	1	2	b73	france	-0.437394373622828	resid_longlength_ti_plant	NA	individual
204_2_2	204	2	2	b73	france	-1.30783891985072	resid_longlength_ti_plant	NA	individual
204_3_2	204	3	2	b73	france	-5.64572515040901	resid_longlength_ti_plant	NA	individual
52_1_2	52	1	2	b73	france	-2.5441652654862	resid_longlength_ti_plant	NA	individual
52_2_2	52	2	2	b73	france	-6.38535175071438	resid_longlength_ti_plant	NA	individual
